Original Word,Generated Typo,Predicted Word
shall,shll,shall
which,whch,which
enter,ener,enter
would,wold,wold
their,thir,this
there,thre,the
should,shuld,should
where,whre,were
these,thse,the
first,fist,fist
speak,spak,spak
think,thnk,think
never,neer,never
father,faher,father
exits,exts,exits
heart,hert,her
queen,quen,queen
great,grat,great
death,deth,doth
prince,prnce,prince
aside,asde,aside
master,mater,mater
sweet,swet,sweet
again,agin,again
cannot,canot,cannot
richard,rihard,richard
scene,scne,scene
before,beore,before
other,oter,other
mistress,mitress,mistress
